"id","event_type","device_id","date","image","spending_time","update_unique_id","gender","age","vehicle_type","vehicle_number","intrusion_type","crowd_count","violation","created_at"
1,Human detection,3,2024-09-02 23:10:48.852 +0530,camera_0_3_1_2024-09-02T17:40:48.852151Z.jpg,"0.26","0_3_1_2024-09-02T17:40:48.852151Z",Null,Null,,,Null,0,,2024-09-02 23:10:48.852 +0530
3,Human detection,3,2024-09-02 23:10:59.611 +0530,camera_0_3_18_2024-09-02T17:40:59.611222Z.jpg,"0.17","0_3_18_2024-09-02T17:40:59.611222Z",Null,Null,,,Null,0,,2024-09-02 23:10:59.611 +0530
2,Human detection,3,2024-09-02 23:10:52.396 +0530,camera_0_3_7_2024-09-02T17:40:52.396845Z.jpg,"0.31","0_3_7_2024-09-02T17:40:52.396845Z",Null,Null,,,Null,0,,2024-09-02 23:10:52.396 +0530
4,Human detection,3,2024-09-02 23:11:02.212 +0530,camera_0_3_21_2024-09-02T17:41:02.212515Z.jpg,"0.16","0_3_21_2024-09-02T17:41:02.212515Z",Null,Null,,,Null,0,,2024-09-02 23:11:02.212 +0530
5,Human detection,3,2024-09-02 23:11:08.691 +0530,camera_0_3_1_2024-09-02T17:41:08.691018Z.jpg,"0.28","0_3_1_2024-09-02T17:41:08.691018Z",Null,Null,,,Null,0,,2024-09-02 23:11:08.691 +0530
6,Human detection,3,2024-09-02 23:11:09.237 +0530,camera_0_3_22_2024-09-02T17:41:09.237801Z.jpg,"0.28","0_3_22_2024-09-02T17:41:09.237801Z",Null,Null,,,Null,0,,2024-09-02 23:11:09.237 +0530
8,Human detection,3,2024-09-02 23:11:15.887 +0530,camera_0_3_24_2024-09-02T17:41:15.887892Z.jpg,"0.17","0_3_24_2024-09-02T17:41:15.887892Z",Null,Null,,,Null,0,,2024-09-02 23:11:15.887 +0530
7,Human detection,3,2024-09-02 23:11:13.641 +0530,camera_0_3_7_2024-09-02T17:41:13.641582Z.jpg,"0.34","0_3_7_2024-09-02T17:41:13.641582Z",Null,Null,,,Null,0,,2024-09-02 23:11:13.641 +0530
9,Human detection,3,2024-09-02 23:11:26.810 +0530,camera_0_3_24_2024-09-02T17:41:26.810969Z.jpg,"0.2","0_3_24_2024-09-02T17:41:26.810969Z",Null,Null,,,Null,0,,2024-09-02 23:11:26.810 +0530
10,Human detection,3,2024-09-02 23:11:27.801 +0530,camera_0_3_22_2024-09-02T17:41:27.801879Z.jpg,"0.24","0_3_22_2024-09-02T17:41:27.801879Z",Null,Null,,,Null,0,,2024-09-02 23:11:27.801 +0530
11,Human detection,3,2024-09-02 23:11:34.959 +0530,camera_0_3_7_2024-09-02T17:41:34.959629Z.jpg,"0.13","0_3_7_2024-09-02T17:41:34.959629Z",Null,Null,,,Null,0,,2024-09-02 23:11:34.959 +0530
12,Human detection,3,2024-09-02 23:11:39.296 +0530,camera_0_3_24_2024-09-02T17:41:39.296792Z.jpg,"0.15","0_3_24_2024-09-02T17:41:39.296792Z",Null,Null,,,Null,0,,2024-09-02 23:11:39.296 +0530
13,Human detection,3,2024-09-02 23:11:39.910 +0530,camera_0_3_36_2024-09-02T17:41:39.910520Z.jpg,"0.17","0_3_36_2024-09-02T17:41:39.910520Z",Null,Null,,,Null,0,,2024-09-02 23:11:39.910 +0530
14,Human detection,3,2024-09-02 23:11:42.743 +0530,camera_0_3_22_2024-09-02T17:41:42.743110Z.jpg,"0.23","0_3_22_2024-09-02T17:41:42.743110Z",Null,Null,,,Null,0,,2024-09-02 23:11:42.743 +0530
18,Human detection,3,2024-09-02 23:11:56.818 +0530,camera_0_3_22_2024-09-02T17:41:56.818266Z.jpg,,"0_3_22_2024-09-02T17:41:56.818266Z",Null,Null,,,Null,0,,2024-09-02 23:11:56.818 +0530
15,Human detection,3,2024-09-02 23:11:47.475 +0530,camera_0_3_37_2024-09-02T17:41:47.475297Z.jpg,"0.28","0_3_37_2024-09-02T17:41:47.475297Z",Null,Null,,,Null,0,,2024-09-02 23:11:47.475 +0530
17,Human detection,3,2024-09-02 23:11:54.304 +0530,camera_0_3_39_2024-09-02T17:41:54.304265Z.jpg,"0.18","0_3_39_2024-09-02T17:41:54.304265Z",Null,Null,,,Null,0,,2024-09-02 23:11:54.304 +0530
19,Human detection,3,2024-09-02 23:12:05.645 +0530,camera_0_3_39_2024-09-02T17:42:05.645196Z.jpg,,"0_3_39_2024-09-02T17:42:05.645196Z",Null,Null,,,Null,0,,2024-09-02 23:12:05.645 +0530
16,Human detection,3,2024-09-02 23:11:48.811 +0530,camera_0_3_24_2024-09-02T17:41:48.811697Z.jpg,"0.27","0_3_24_2024-09-02T17:41:48.811697Z",Null,Null,,,Null,0,,2024-09-02 23:11:48.811 +0530
20,Human detection,3,2024-09-02 23:12:06.715 +0530,camera_0_3_37_2024-09-02T17:42:06.715510Z.jpg,,"0_3_37_2024-09-02T17:42:06.715510Z",Null,Null,,,Null,0,,2024-09-02 23:12:06.715 +0530
21,Human detection,3,2024-09-02 23:16:45.596 +0530,camera_0_3_1_2024-09-02T17:46:45.596480Z.jpg,,"0_3_1_2024-09-02T17:46:45.596480Z",Null,Null,,,Null,0,,2024-09-02 23:16:45.596 +0530
22,Human detection,3,2024-09-02 23:18:49.285 +0530,camera_0_3_1_2024-09-02T17:48:49.285268Z.jpg,,"0_3_1_2024-09-02T17:48:49.285268Z",Null,Null,,,Null,0,,2024-09-02 23:18:49.285 +0530
24,Intrusion detection,3,2024-09-02 23:20:10.183 +0530,camera_0_3_7_2024-09-02T17:50:10.183812Z.jpg,,"0_3_7_2024-09-02T17:50:10.183812Z",Null,Null,,,Untime,0,,2024-09-02 23:20:10.183 +0530
25,Intrusion detection,3,2024-09-02 23:20:14.743 +0530,camera_0_3_15_2024-09-02T17:50:14.743767Z.jpg,,"0_3_15_2024-09-02T17:50:14.743767Z",Null,Null,,,Untime,0,,2024-09-02 23:20:14.743 +0530
23,Intrusion detection,3,2024-09-02 23:20:06.309 +0530,camera_0_3_1_2024-09-02T17:50:06.309330Z.jpg,"0.2","0_3_1_2024-09-02T17:50:06.309330Z",Null,Null,,,Untime,0,,2024-09-02 23:20:06.309 +0530
26,Intrusion detection,3,2024-09-02 23:20:18.768 +0530,camera_0_3_1_2024-09-02T17:50:18.768831Z.jpg,,"0_3_1_2024-09-02T17:50:18.768831Z",Null,Null,,,Untime,0,,2024-09-02 23:20:18.768 +0530
27,Intrusion detection,3,2024-09-02 23:20:22.989 +0530,camera_0_3_21_2024-09-02T17:50:22.989541Z.jpg,,"0_3_21_2024-09-02T17:50:22.989541Z",Null,Null,,,Untime,0,,2024-09-02 23:20:22.989 +0530
28,Intrusion detection,3,2024-09-02 23:20:30.818 +0530,camera_0_3_7_2024-09-02T17:50:30.818668Z.jpg,,"0_3_7_2024-09-02T17:50:30.818668Z",Null,Null,,,Untime,0,,2024-09-02 23:20:30.818 +0530
29,Intrusion detection,3,2024-09-02 23:20:31.940 +0530,camera_0_3_24_2024-09-02T17:50:31.940367Z.jpg,,"0_3_24_2024-09-02T17:50:31.940367Z",Null,Null,,,Untime,0,,2024-09-02 23:20:31.940 +0530
30,Intrusion detection,3,2024-09-02 23:20:36.581 +0530,camera_0_3_15_2024-09-02T17:50:36.581465Z.jpg,,"0_3_15_2024-09-02T17:50:36.581465Z",Null,Null,,,Untime,0,,2024-09-02 23:20:36.581 +0530
